;Preco Diesel [R$];Cotacao Dolar;Preco Razao Elepot [USD];Preco R.E. Cor. Dolar [R$];Preco Bat [USD];Preco Bat Cor. Dolar [R$];Preco UC [USD];Preco UC Cor. Dolar [R$];C-rate;Np,b;Np,uc;Volume Total [L];Energia Total Bat. [kWh];Energia Total UC. [kWh];Energia Total [kWh];Pth [kW];VPL [R$]
111;3,69;5,3;10;53;33,92;179,776;51,675;273,8775;2;6;0;1373,184;294,912;0;294,912;1250;4928838,989
112;3,69;5,3;10;53;33,92;179,776;51,675;273,8775;6;6;0;1373,184;294,912;0;294,912;1800;10790472,06
113;3,69;5,3;10;53;33,92;179,776;51,675;273,8775;10;4;0;915,456;196,608;0;196,608;2000;11024554
114;3,69;5,3;10;53;33,92;179,776;72,345;383,4285;2;6;0;1373,184;294,912;0;294,912;1250;4928838,989
115;3,69;5,3;10;53;33,92;179,776;72,345;383,4285;6;6;0;1373,184;294,912;0;294,912;1975;10790472,06
116;3,69;5,3;10;53;33,92;179,776;72,345;383,4285;10;4;0;915,456;196,608;0;196,608;2000;11024554
117;3,69;5,3;10;53;67,84;359,552;31,005;164,3265;2;6;0;1373,184;294,912;0;294,912;1250;4738917,657
118;3,69;5,3;10;53;67,84;359,552;31,005;164,3265;6;6;0;1373,184;294,912;0;294,912;1800;10413449,09
119;3,69;5,3;10;53;67,84;359,552;31,005;164,3265;10;4;0;915,456;196,608;0;196,608;2000;10683681,24
120;3,69;5,3;10;53;67,84;359,552;51,675;273,8775;2;6;0;1373,184;294,912;0;294,912;1250;4738917,657
121;3,69;5,3;10;53;67,84;359,552;51,675;273,8775;6;6;0;1373,184;294,912;0;294,912;1800;10413449,09
122;3,69;5,3;10;53;67,84;359,552;51,675;273,8775;10;4;0;915,456;196,608;0;196,608;2000;10683681,24
123;3,69;5,3;10;53;67,84;359,552;72,345;383,4285;2;6;0;1373,184;294,912;0;294,912;1250;4738917,657
124;3,69;5,3;10;53;67,84;359,552;72,345;383,4285;6;6;0;1373,184;294,912;0;294,912;1800;10413449,09
125;3,69;5,3;10;53;67,84;359,552;72,345;383,4285;10;4;0;915,456;196,608;0;196,608;2000;10683681,24
126;3,69;5,3;10;53;183,8464;974,38592;31,005;164,3265;2;6;0;1373,184;294,912;0;294,912;1250;4089386,699
127;3,69;5,3;10;53;183,8464;974,38592;31,005;164,3265;6;6;0;1373,184;294,912;0;294,912;1800;9124030,539
128;3,69;5,3;10;53;183,8464;974,38592;31,005;164,3265;10;4;0;915,456;196,608;0;196,608;2000;9517896,398
129;3,69;5,3;10;53;183,8464;974,38592;51,675;273,8775;2;6;0;1373,184;294,912;0;294,912;1250;4089386,699
130;3,69;5,3;10;53;183,8464;974,38592;51,675;273,8775;6;6;0;1373,184;294,912;0;294,912;1800;9124030,539
131;3,69;5,3;10;53;183,8464;974,38592;51,675;273,8775;10;4;0;915,456;196,608;0;196,608;2000;9517896,398
132;3,69;5,3;10;53;183,8464;974,38592;72,345;383,4285;2;6;0;1373,184;294,912;0;294,912;1250;4089386,699
133;3,69;5,3;10;53;183,8464;974,38592;72,345;383,4285;6;6;0;1373,184;294,912;0;294,912;1800;9124030,539
134;3,69;5,3;10;53;183,8464;974,38592;72,345;383,4285;10;4;0;915,456;196,608;0;196,608;2000;9517896,398
135;3,69;5,3;20;106;33,92;179,776;31,005;164,3265;2;6;0;1373,184;294,912;0;294,912;1250;4822838,989
136;3,69;5,3;20;106;33,92;179,776;31,005;164,3265;6;6;0;1373,184;294,912;0;294,912;1800;10684472,06
137;3,69;5,3;20;106;33,92;179,776;31,005;164,3265;10;4;0;915,456;196,608;0;196,608;2000;10918554
138;3,69;5,3;20;106;33,92;179,776;51,675;273,8775;2;6;0;1373,184;294,912;0;294,912;1250;4822838,989
139;3,69;5,3;20;106;33,92;179,776;51,675;273,8775;6;6;0;1373,184;294,912;0;294,912;1800;10684472,06
140;3,69;5,3;20;106;33,92;179,776;51,675;273,8775;10;4;0;915,456;196,608;0;196,608;2000;10918554
141;3,69;5,3;20;106;33,92;179,776;72,345;383,4285;2;6;0;1373,184;294,912;0;294,912;1250;4822838,989
142;3,69;5,3;20;106;33,92;179,776;72,345;383,4285;6;6;0;1373,184;294,912;0;294,912;1975;10684472,06
143;3,69;5,3;20;106;33,92;179,776;72,345;383,4285;10;4;0;915,456;196,608;0;196,608;2000;10918554
144;3,69;5,3;20;106;67,84;359,552;31,005;164,3265;2;6;0;1373,184;294,912;0;294,912;1250;4632917,657
145;3,69;5,3;20;106;67,84;359,552;31,005;164,3265;6;6;0;1373,184;294,912;0;294,912;1800;10307449,09
146;3,69;5,3;20;106;67,84;359,552;31,005;164,3265;10;4;0;915,456;196,608;0;196,608;2000;10577681,24
147;3,69;5,3;20;106;67,84;359,552;51,675;273,8775;2;6;0;1373,184;294,912;0;294,912;1250;4632917,657
148;3,69;5,3;20;106;67,84;359,552;51,675;273,8775;6;6;0;1373,184;294,912;0;294,912;1800;10307449,09
149;3,69;5,3;20;106;67,84;359,552;51,675;273,8775;10;4;0;915,456;196,608;0;196,608;2000;10577681,24
150;3,69;5,3;20;106;67,84;359,552;72,345;383,4285;2;6;0;1373,184;294,912;0;294,912;1250;4632917,657
151;3,69;5,3;20;106;67,84;359,552;72,345;383,4285;6;6;0;1373,184;294,912;0;294,912;1800;10307449,09
152;3,69;5,3;20;106;67,84;359,552;72,345;383,4285;10;4;0;915,456;196,608;0;196,608;2000;10577681,24
153;3,69;5,3;20;106;183,8464;974,38592;31,005;164,3265;2;6;0;1373,184;294,912;0;294,912;1250;3983386,699
154;3,69;5,3;20;106;183,8464;974,38592;31,005;164,3265;6;6;0;1373,184;294,912;0;294,912;1800;9018030,539
155;3,69;5,3;20;106;183,8464;974,38592;31,005;164,3265;10;4;0;915,456;196,608;0;196,608;2000;9411896,398
156;3,69;5,3;20;106;183,8464;974,38592;51,675;273,8775;2;6;0;1373,184;294,912;0;294,912;1250;3983386,699
157;3,69;5,3;20;106;183,8464;974,38592;51,675;273,8775;6;6;0;1373,184;294,912;0;294,912;1800;9018030,539
158;3,69;5,3;20;106;183,8464;974,38592;51,675;273,8775;10;4;0;915,456;196,608;0;196,608;2000;9411896,398
159;3,69;5,3;20;106;183,8464;974,38592;72,345;383,4285;2;6;0;1373,184;294,912;0;294,912;1250;3983386,699
160;3,69;5,3;20;106;183,8464;974,38592;72,345;383,4285;6;6;0;1373,184;294,912;0;294,912;1800;9018030,539
161;3,69;5,3;20;106;183,8464;974,38592;72,345;383,4285;10;4;0;915,456;196,608;0;196,608;2000;9411896,398
162;3,69;6,31;5;31,55;40,384;254,82304;36,9135;232,924185;2;6;0;1373,184;294,912;0;294,912;1250;4935546,433
163;3,69;6,31;5;31,55;40,384;254,82304;36,9135;232,924185;6;6;0;1373,184;294,912;0;294,912;1800;10761524,28
164;3,69;6,31;5;31,55;40,384;254,82304;36,9135;232,924185;10;4;0;915,456;196,608;0;196,608;1975;11002495,23
165;3,69;6,31;5;31,55;40,384;254,82304;61,5225;388,206975;2;6;0;1373,184;294,912;0;294,912;1250;4935546,433
166;3,69;6,31;5;31,55;40,384;254,82304;61,5225;388,206975;6;6;0;1373,184;294,912;0;294,912;1800;10761524,28
167;3,69;6,31;5;31,55;40,384;254,82304;61,5225;388,206975;10;4;0;915,456;196,608;0;196,608;1975;11002495,23
168;3,69;6,31;5;31,55;40,384;254,82304;86,1315;543,489765;2;6;0;1373,184;294,912;0;294,912;1250;4935546,433
169;3,69;6,31;5;31,55;40,384;254,82304;86,1315;543,489765;6;6;0;1373,184;294,912;0;294,912;1975;10761524,28
170;3,69;6,31;5;31,55;40,384;254,82304;86,1315;543,489765;10;4;0;915,456;196,608;0;196,608;1975;11002495,23
171;3,69;6,31;5;31,55;80,768;509,64608;36,9135;232,924185;2;6;0;1373,184;294,912;0;294,912;1250;4709432,545
172;3,69;6,31;5;31,55;80,768;509,64608;36,9135;232,924185;6;6;0;1373,184;294,912;0;294,912;1800;10312653,54
173;3,69;6,31;5;31,55;80,768;509,64608;36,9135;232,924185;10;4;0;915,456;196,608;0;196,608;2000;10596663,7
174;3,69;6,31;5;31,55;80,768;509,64608;61,5225;388,206975;2;6;0;1373,184;294,912;0;294,912;1250;4709432,545
175;3,69;6,31;5;31,55;80,768;509,64608;61,5225;388,206975;6;6;0;1373,184;294,912;0;294,912;1800;10312653,54
176;3,69;6,31;5;31,55;80,768;509,64608;61,5225;388,206975;10;4;0;915,456;196,608;0;196,608;2000;10596663,7
177;3,69;6,31;5;31,55;80,768;509,64608;86,1315;543,489765;2;6;0;1373,184;294,912;0;294,912;1250;4709432,545
178;3,69;6,31;5;31,55;80,768;509,64608;86,1315;543,489765;6;6;0;1373,184;294,912;0;294,912;1800;10312653,54
179;3,69;6,31;5;31,55;80,768;509,64608;86,1315;543,489765;10;4;0;915,456;196,608;0;196,608;2000;10596663,7
180;3,69;6,31;5;31,55;218,88128;1381,140877;36,9135;232,924185;2;6;0;1373,184;294,912;0;294,912;625;3936123,047
181;3,69;6,31;5;31,55;218,88128;1381,140877;36,9135;232,924185;6;6;0;1373,184;294,912;0;294,912;1800;8777515,608
182;3,69;6,31;5;31,55;218,88128;1381,140877;36,9135;232,924185;10;4;0;915,456;196,608;0;196,608;2000;9208719,856
183;3,69;6,31;5;31,55;218,88128;1381,140877;61,5225;388,206975;2;6;0;1373,184;294,912;0;294,912;625;3936123,047
184;3,69;6,31;5;31,55;218,88128;1381,140877;61,5225;388,206975;6;6;0;1373,184;294,912;0;294,912;1800;8777515,608
185;3,69;6,31;5;31,55;218,88128;1381,140877;61,5225;388,206975;10;4;0;915,456;196,608;0;196,608;2000;9208719,856
186;3,69;6,31;5;31,55;218,88128;1381,140877;86,1315;543,489765;2;6;0;1373,184;294,912;0;294,912;625;3936123,047
187;3,69;6,31;5;31,55;218,88128;1381,140877;86,1315;543,489765;6;6;0;1373,184;294,912;0;294,912;1800;8777515,608
188;3,69;6,31;5;31,55;218,88128;1381,140877;86,1315;543,489765;10;4;0;915,456;196,608;0;196,608;2000;9208719,856
189;3,69;6,31;10;63,1;40,384;254,82304;36,9135;232,924185;2;6;0;1373,184;294,912;0;294,912;1250;4872446,433
190;3,69;6,31;10;63,1;40,384;254,82304;36,9135;232,924185;6;6;0;1373,184;294,912;0;294,912;1800;10698424,28
191;3,69;6,31;10;63,1;40,384;254,82304;36,9135;232,924185;10;4;0;915,456;196,608;0;196,608;1975;10939395,23
192;3,69;6,31;10;63,1;40,384;254,82304;61,5225;388,206975;2;6;0;1373,184;294,912;0;294,912;1250;4872446,433
193;3,69;6,31;10;63,1;40,384;254,82304;61,5225;388,206975;6;6;0;1373,184;294,912;0;294,912;1800;10698424,28
194;3,69;6,31;10;63,1;40,384;254,82304;61,5225;388,206975;10;4;0;915,456;196,608;0;196,608;1975;10939395,23
195;3,69;6,31;10;63,1;40,384;254,82304;86,1315;543,489765;2;6;0;1373,184;294,912;0;294,912;1250;4872446,433
196;3,69;6,31;10;63,1;40,384;254,82304;86,1315;543,489765;6;6;0;1373,184;294,912;0;294,912;1975;10698424,28
197;3,69;6,31;10;63,1;40,384;254,82304;86,1315;543,489765;10;4;0;915,456;196,608;0;196,608;1975;10939395,23
198;3,69;6,31;10;63,1;80,768;509,64608;36,9135;232,924185;2;6;0;1373,184;294,912;0;294,912;1250;4646332,545
199;3,69;6,31;10;63,1;80,768;509,64608;36,9135;232,924185;6;6;0;1373,184;294,912;0;294,912;1800;10249553,54
200;3,69;6,31;10;63,1;80,768;509,64608;36,9135;232,924185;10;4;0;915,456;196,608;0;196,608;2000;10533563,7
201;3,69;6,31;10;63,1;80,768;509,64608;61,5225;388,206975;2;6;0;1373,184;294,912;0;294,912;1250;4646332,545
202;3,69;6,31;10;63,1;80,768;509,64608;61,5225;388,206975;6;6;0;1373,184;294,912;0;294,912;1800;10249553,54
203;3,69;6,31;10;63,1;80,768;509,64608;61,5225;388,206975;10;4;0;915,456;196,608;0;196,608;2000;10533563,7
204;3,69;6,31;10;63,1;80,768;509,64608;86,1315;543,489765;2;6;0;1373,184;294,912;0;294,912;1250;4646332,545
205;3,69;6,31;10;63,1;80,768;509,64608;86,1315;543,489765;6;6;0;1373,184;294,912;0;294,912;1800;10249553,54
206;3,69;6,31;10;63,1;80,768;509,64608;86,1315;543,489765;10;4;0;915,456;196,608;0;196,608;2000;10533563,7
207;3,69;6,31;10;63,1;218,88128;1381,140877;36,9135;232,924185;2;6;0;1373,184;294,912;0;294,912;625;3873023,047
